ILMID	Multimap	SNPatCpGorExtensionBase	Liftover_fail
cg14590331	NA	1	NA
cg14590369	NA	1	NA
cg14591293	NA	1	NA
cg14591352	1	NA	NA
cg14591564	1	NA	NA
cg14591995	1	NA	NA
cg14592798	NA	1	NA
cg14592895	NA	1	NA
cg14592989	1	NA	NA
cg14593273	1	NA	NA
cg14595013	1	NA	NA
cg14595083	NA	1	NA
cg14595915	1	NA	NA
cg14596086	1	NA	NA
cg14596593	1	NA	NA
cg14597066	1	NA	NA
cg14597280	1	NA	NA
cg14597545	NA	1	NA
cg14597791	1	NA	NA
cg14597862	NA	1	NA
cg14598211	1	NA	NA
cg14598452	1	NA	NA
cg14599362	NA	1	NA
cg14599714	1	NA	NA
cg14599729	NA	1	NA
cg14600090	1	NA	NA
cg14600384	1	NA	NA
cg14600420	1	NA	NA
cg14600600	1	NA	NA
cg14601053	NA	1	NA
cg14602234	NA	1	NA
cg14602341	1	NA	NA
cg14602438	NA	1	NA
cg14603040	1	NA	NA
cg14603624	NA	1	NA
cg14604065	NA	1	NA
cg14604522	NA	1	NA
cg14605274	NA	1	NA
cg14605520	NA	1	NA
cg14605590	1	NA	NA
cg14605999	NA	1	NA
cg14606740	NA	1	NA
cg14606856	1	NA	NA
cg14607208	1	NA	NA
cg14607660	NA	1	NA
cg14608437	1	NA	NA
cg14608722	1	NA	NA
cg14608770	NA	1	NA
cg14609104	NA	1	NA
cg14609402	NA	1	NA
cg14609841	1	NA	NA
cg14610121	1	NA	NA
cg14610335	NA	1	NA
cg14611084	1	NA	NA
cg14611398	1	NA	NA
cg14611555	NA	1	NA
cg14611628	1	NA	NA
cg14612870	1	NA	NA
cg14612892	1	NA	NA
cg14613402	NA	1	NA
cg14615128	NA	1	NA
cg14615268	1	NA	NA
cg14615609	1	NA	NA
cg14615914	NA	1	NA
cg14616651	1	NA	NA
cg14616819	1	NA	NA
cg14618186	1	NA	NA
cg14618312	NA	1	NA
cg14618737	1	NA	NA
cg14619201	1	NA	NA
cg14619203	1	NA	NA
cg14619249	1	NA	NA
cg14621843	1	NA	NA
cg14621900	NA	1	NA
cg14622069	1	NA	NA
cg14623630	1	NA	NA
cg14623940	NA	1	NA
cg14624329	NA	1	NA
cg14624784	NA	1	NA
cg14625594	NA	1	NA
cg14626525	NA	1	NA
cg14628803	1	NA	NA
cg14629021	NA	1	NA
cg14629665	NA	1	NA
cg14630237	1	NA	NA
cg14630357	NA	1	NA
cg14630369	1	NA	NA
cg14630424	NA	1	NA
cg14631114	1	NA	NA
cg14631503	1	NA	NA
cg14631997	NA	1	NA
cg14633052	NA	1	NA
cg14633421	NA	1	NA
cg14633455	NA	1	NA
cg14633783	1	NA	NA
cg14634112	1	NA	NA
cg14635199	1	NA	NA
cg14635303	NA	1	NA
cg14635635	1	NA	NA
cg14635767	NA	1	NA
cg14636575	NA	1	NA
cg14636658	NA	1	NA
cg14638044	1	NA	NA
cg14638176	NA	1	NA
cg14638919	NA	1	NA
cg14639562	NA	1	NA
cg14639859	1	NA	NA
cg14640244	NA	1	NA
cg14640310	1	NA	NA
cg14641122	NA	1	NA
cg14641231	1	NA	NA
cg14641829	NA	1	NA
cg14641909	1	NA	NA
cg14643264	NA	1	NA
cg14643686	1	NA	NA
cg14644008	1	NA	NA
cg14644219	1	NA	NA
cg14645317	NA	1	NA
cg14646081	NA	1	NA
cg14646194	1	NA	NA
cg14646548	1	NA	NA
cg14646974	1	NA	NA
cg14647253	NA	1	NA
cg14647877	1	NA	NA
cg14648424	1	NA	NA
cg14649652	1	NA	NA
cg14650244	1	NA	NA
cg14650677	1	NA	NA
cg14651305	1	NA	NA
cg14651332	1	NA	NA
cg14651435	NA	1	NA
cg14652403	1	NA	NA
cg14652434	1	NA	NA
cg14652524	NA	1	NA
cg14654471	NA	1	NA
cg14654643	NA	1	NA
cg14654833	NA	1	NA
cg14655345	1	NA	NA
cg14655471	1	NA	NA
cg14655569	NA	1	NA
cg14655843	NA	1	NA
cg14655855	NA	1	NA
cg14656533	1	NA	NA
cg14656727	1	NA	NA
cg14656774	NA	1	NA
cg14656949	1	NA	NA
cg14657466	1	1	NA
cg14658518	1	NA	NA
cg14658607	1	NA	NA
cg14659346	1	NA	NA
cg14659698	NA	1	NA
cg14660024	1	NA	NA
cg14661056	1	NA	NA
cg14661431	NA	1	NA
cg14663533	1	NA	NA
cg14663607	NA	1	NA
cg14663967	1	NA	NA
cg14664030	1	NA	NA
cg14664302	1	NA	NA
cg14664316	1	NA	NA
cg14665690	1	NA	NA
cg14667175	NA	1	NA
cg14667406	NA	1	NA
cg14667780	NA	1	NA
cg14669139	1	NA	NA
cg14669842	NA	1	NA
cg14669863	NA	1	NA
cg14670842	1	NA	NA
cg14673393	1	NA	NA
cg14674091	NA	1	NA
cg14675109	1	NA	NA
cg14675896	1	NA	NA
cg14677013	1	NA	NA
cg14677510	1	NA	NA
cg14677909	1	NA	NA
cg14678021	1	NA	NA
cg14680303	1	NA	NA
cg14680899	NA	1	NA
cg14683055	1	NA	NA
cg14683317	1	NA	NA
cg14683378	1	NA	NA
cg14687949	NA	1	NA
cg14688113	1	NA	NA
cg14688178	1	NA	NA
cg14689365	1	NA	NA
cg14689456	NA	1	NA
cg14690181	1	NA	NA
cg14690580	1	NA	NA
cg14691356	1	NA	NA
cg14691596	1	NA	NA
cg14691729	1	NA	NA
cg14692453	NA	1	NA
cg14693353	NA	1	NA
cg14694441	NA	1	NA
cg14694712	1	NA	NA
cg14695751	NA	1	NA
cg14696804	NA	1	NA
cg14696820	1	NA	NA
cg14697425	NA	1	NA
cg14698238	NA	1	NA
cg14698794	1	NA	NA
cg14698917	1	NA	NA
cg14700230	NA	1	NA
cg14701008	1	NA	NA
cg14702372	1	NA	NA
cg14702390	NA	1	NA
cg14703102	1	NA	NA
cg14704208	1	NA	NA
cg14704483	1	NA	NA
cg14705079	1	NA	NA
cg14706226	1	NA	NA
cg14706297	NA	1	NA
cg14708514	NA	1	NA
cg14709239	NA	1	NA
cg14710025	1	NA	NA
cg14710850	1	1	NA
cg14711302	1	NA	NA
cg14713146	NA	1	NA
cg14714692	NA	1	NA
cg14714922	NA	1	NA
cg14715030	1	NA	NA
cg14715098	1	NA	NA
cg14715136	1	NA	NA
cg14716306	NA	1	NA
cg14717122	NA	1	NA
cg14717725	1	NA	NA
cg14717759	1	NA	NA
cg14718065	1	NA	NA
cg14719352	NA	1	NA
cg14720354	1	NA	NA
cg14722975	1	NA	NA
cg14723373	1	NA	NA
cg14723566	NA	1	NA
cg14724469	1	1	NA
cg14724719	1	NA	NA
cg14725151	NA	1	NA
cg14725804	1	NA	NA
cg14727106	1	1	NA
cg14727192	1	NA	NA
cg14728864	1	NA	NA
cg14729961	NA	1	NA
cg14732376	1	NA	NA
cg14732789	1	NA	NA
cg14734614	1	1	NA
cg14734916	1	NA	NA
cg14735741	NA	1	NA
cg14738348	NA	1	NA
cg14740554	1	NA	NA
cg14741653	1	NA	NA
cg14742198	1	NA	NA
cg14742523	1	NA	NA
cg14742715	1	NA	NA
cg14743534	1	NA	NA
cg14744161	NA	1	NA
cg14744463	1	NA	NA
cg14748455	NA	1	NA
cg14748636	1	NA	NA
cg14749368	1	NA	NA
cg14750475	NA	1	NA
cg14751679	1	NA	NA
cg14752069	1	NA	NA
cg14752990	1	NA	NA
cg14755258	NA	1	NA
cg14755417	1	NA	NA
cg14755992	1	NA	NA
cg14756307	1	NA	NA
cg14756480	NA	1	NA
cg14756640	1	1	NA
cg14757331	1	NA	NA
cg14757339	1	NA	NA
cg14757759	1	NA	NA
cg14758680	1	NA	NA
cg14759549	NA	1	NA
cg14760010	NA	1	NA
cg14761252	NA	1	NA
cg14761773	NA	1	NA
cg14762316	1	NA	NA
cg14763172	NA	1	NA
cg14764876	1	NA	NA
cg14766231	1	NA	NA
cg14766621	NA	1	NA
cg14766654	1	NA	NA
cg14768459	NA	1	NA
cg14768747	1	NA	NA
cg14768765	1	NA	NA
cg14770633	1	NA	NA
cg14771233	1	NA	NA
cg14771419	1	NA	NA
cg14772660	NA	1	NA
cg14773228	NA	1	NA
cg14773441	1	NA	NA
cg14773466	1	NA	NA
cg14773480	1	NA	NA
cg14773822	NA	1	NA
cg14774371	1	NA	NA
cg14774438	1	NA	NA
cg14774817	NA	1	NA
cg14775487	1	NA	NA
cg14775690	1	NA	NA
cg14777161	1	NA	NA
cg14778531	1	NA	NA
cg14778922	NA	1	NA
cg14779106	1	NA	NA
cg14779627	1	NA	NA
cg14779990	1	NA	NA
cg14780600	NA	1	NA
cg14780883	1	NA	NA
cg14781805	NA	1	NA
cg14781967	1	NA	NA
cg14782152	1	NA	NA
cg14782559	NA	1	NA
cg14782883	1	NA	NA
cg14783259	1	1	NA
cg14783943	1	NA	NA
cg14784293	NA	1	NA
cg14785064	1	NA	NA
cg14787112	1	NA	NA
cg14787753	NA	1	NA
cg14789841	1	NA	NA
cg14789960	1	NA	NA
cg14792008	NA	1	NA
cg14795069	1	NA	NA
cg14795227	NA	1	NA
cg14795328	1	NA	NA
cg14795555	NA	1	NA
cg14796261	NA	1	NA
cg14796474	1	NA	NA
cg14796563	NA	1	NA
cg14796755	1	NA	NA
cg14797147	NA	1	NA
cg14798020	NA	1	NA
cg14798158	1	1	NA
cg14798160	1	NA	NA
cg14798566	1	NA	NA
cg14798656	1	NA	NA
cg14799277	NA	1	NA
cg14799696	1	NA	NA
cg14800026	1	NA	NA
cg14800299	NA	1	NA
cg14802609	NA	1	NA
cg14802684	NA	1	NA
cg14803005	NA	1	NA
cg14803009	NA	1	NA
cg14804903	NA	1	NA
cg14805882	1	NA	NA
cg14807446	NA	1	NA
cg14810242	NA	1	NA
cg14811390	1	NA	NA
cg14811551	1	NA	NA
cg14812046	1	NA	NA
cg14812517	NA	1	NA
cg14812594	NA	1	NA
cg14813458	NA	1	NA
cg14813485	NA	1	NA
cg14817783	NA	1	NA
cg14818343	1	NA	NA
cg14818701	NA	1	NA
cg14819229	NA	1	NA
cg14819838	1	NA	NA
cg14819942	1	NA	NA
cg14820213	NA	1	NA
cg14820722	1	1	NA
cg14821382	1	NA	NA
cg14822195	1	NA	NA
cg14822303	NA	1	NA
cg14822525	1	NA	NA
cg14824750	1	NA	NA
cg14825676	NA	1	NA
cg14825684	NA	1	NA
cg14825858	NA	1	NA
cg14826021	1	NA	NA
cg14827083	1	NA	NA
cg14827198	1	NA	NA
cg14828182	1	NA	NA
cg14829155	1	NA	NA
cg14829303	1	1	NA
cg14830118	1	NA	NA
cg14830644	1	NA	NA
cg14830815	1	NA	NA
cg14832183	1	NA	NA
cg14833933	NA	1	NA
cg14834721	1	NA	NA
cg14835575	1	NA	NA
cg14835746	1	NA	NA
cg14836643	1	1	NA
cg14837148	NA	1	NA
cg14837792	NA	1	NA
cg14837825	NA	1	NA
cg14839087	1	NA	NA
cg14839256	1	NA	NA
cg14839871	1	NA	NA
cg14840163	1	NA	NA
cg14840439	NA	1	NA
cg14840863	1	NA	NA
cg14841222	1	NA	NA
cg14841838	1	NA	NA
cg14843831	1	NA	NA
cg14844353	NA	1	NA
cg14844624	NA	1	NA
cg14846372	1	NA	NA
cg14847658	NA	1	NA
cg14848321	1	NA	NA
cg14848469	1	NA	NA
cg14849412	1	NA	NA
cg14849556	NA	1	NA
cg14850342	1	NA	NA
cg14851317	1	NA	NA
cg14851325	1	NA	NA
cg14851468	1	NA	NA
cg14851578	1	NA	NA
cg14852920	1	NA	NA
cg14853231	1	NA	NA
cg14853443	1	NA	NA
cg14853981	1	NA	NA
cg14854329	1	NA	NA
cg14854474	1	NA	NA
cg14854798	1	NA	NA
cg14856052	1	NA	NA
cg14856082	1	NA	NA
cg14856224	1	NA	NA
cg14857063	1	NA	NA
cg14857615	1	NA	NA
cg14857792	NA	1	NA
cg14859691	1	NA	NA
cg14860045	1	NA	NA
cg14860255	1	NA	NA
cg14860680	NA	1	NA
cg14861298	1	NA	NA
cg14861518	1	NA	NA
cg14861803	1	NA	NA
cg14862445	NA	1	NA
cg14862612	1	NA	NA
cg14863101	1	NA	NA
cg14863544	1	NA	NA
cg14864999	NA	1	NA
cg14866097	1	NA	NA
cg14866240	NA	1	NA
cg14867071	NA	1	NA
cg14867121	1	NA	NA
cg14869721	NA	1	NA
cg14869941	NA	1	NA
cg14872707	NA	1	NA
cg14872828	NA	1	NA
cg14873885	1	NA	NA
cg14874216	NA	1	NA
cg14875081	NA	1	NA
cg14875394	1	NA	NA
cg14876043	NA	1	NA
cg14876102	1	NA	NA
cg14876463	1	NA	NA
cg14876603	1	NA	NA
cg14877834	NA	1	NA
cg14878128	NA	1	NA
cg14880205	1	NA	NA
cg14880257	NA	1	NA
cg14880282	1	NA	NA
cg14881054	1	NA	NA
cg14882150	NA	1	NA
cg14882636	NA	1	NA
cg14882700	1	NA	NA
cg14882797	1	NA	NA
cg14883070	NA	1	NA
cg14883135	NA	1	NA
cg14884183	1	NA	NA
cg14884760	NA	1	NA
cg14884984	1	NA	NA
cg14885742	1	NA	NA
cg14885973	NA	1	NA
cg14886078	NA	1	NA
cg14886300	1	NA	NA
cg14886405	1	NA	NA
cg14887054	NA	1	NA
cg14892517	NA	1	NA
cg14893576	NA	1	NA
cg14894369	1	NA	NA
cg14895302	1	NA	NA
cg14896087	1	NA	NA
cg14896559	NA	1	NA
cg14897569	1	NA	NA
cg14898127	NA	1	NA
cg14898223	NA	1	NA
cg14898433	1	NA	NA
cg14899065	NA	1	NA
cg14901121	1	NA	NA
cg14901243	NA	1	NA
cg14903680	1	NA	NA
cg14904814	1	NA	NA
cg14906734	1	NA	NA
cg14906810	NA	1	NA
cg14906822	1	NA	NA
cg14908557	NA	1	NA
cg14908653	NA	1	NA
cg14908840	NA	1	NA
cg14908964	1	NA	NA
cg14910038	1	NA	NA
cg14910646	1	NA	NA
cg14911101	1	NA	NA
cg14911520	NA	1	NA
cg14912033	1	NA	NA
cg14912045	NA	1	NA
cg14912896	NA	1	NA
cg14914254	1	NA	NA
cg14915290	1	NA	NA
cg14915462	NA	1	NA
cg14916192	NA	1	NA
cg14916274	1	NA	NA
cg14917512	1	NA	NA
cg14917610	1	NA	NA
cg14918019	1	NA	NA
cg14918338	NA	1	NA
cg14918358	1	NA	NA
cg14918442	1	1	NA
cg14918548	NA	1	NA
cg14918782	1	NA	NA
cg14919203	NA	1	NA
cg14919252	1	NA	NA
cg14921163	NA	1	NA
cg14921533	1	NA	NA
cg14921757	NA	1	NA
cg14922732	NA	1	NA
cg14924052	1	NA	NA
cg14924473	NA	1	NA
cg14924510	1	NA	NA
cg14925012	NA	1	NA
cg14925296	NA	1	NA
cg14926093	NA	1	NA
cg14926216	1	NA	NA
cg14926231	NA	1	NA
cg14926485	NA	1	NA
cg14927321	NA	1	NA
cg14927405	1	NA	NA
cg14927724	NA	1	NA
cg14928054	1	NA	NA
cg14928320	1	NA	NA
cg14928378	NA	1	NA
cg14929153	1	NA	NA
cg14929421	1	NA	NA
cg14930167	1	NA	NA
cg14930674	NA	1	NA
cg14930737	NA	1	NA
cg14931631	NA	1	NA
cg14933365	NA	1	NA
cg14933676	1	NA	NA
cg14934400	1	NA	NA
cg14936213	NA	1	NA
cg14937489	1	NA	NA
cg14937607	NA	1	NA
cg14938772	1	NA	NA
cg14940420	NA	1	NA
cg14941073	1	NA	NA
cg14941172	1	NA	NA
cg14941226	NA	1	NA
cg14941466	NA	1	NA
cg14941559	1	NA	NA
cg14941654	1	NA	NA
cg14942464	1	NA	NA
cg14942918	NA	1	NA
cg14943816	NA	1	NA
cg14945456	NA	1	NA
cg14945473	NA	1	NA
cg14945937	NA	1	NA
cg14948230	NA	1	NA
cg14949694	1	NA	NA
cg14950303	1	NA	NA
cg14950321	NA	1	NA
cg14951139	NA	1	NA
cg14952483	1	NA	NA
cg14952802	1	NA	NA
cg14954430	1	NA	NA
cg14955505	1	NA	NA
cg14957685	1	NA	NA
cg14957731	NA	1	NA
cg14959695	1	NA	NA
cg14959820	1	NA	NA
cg14960290	1	NA	NA
cg14960827	1	NA	NA
cg14961511	1	NA	NA
cg14962120	1	NA	NA
cg14962447	1	NA	NA
cg14962548	1	NA	NA
cg14962616	NA	1	NA
cg14963217	1	NA	NA
cg14963498	NA	1	NA
cg14963724	NA	1	NA
cg14963884	1	NA	NA
cg14964115	NA	1	NA
cg14964771	1	NA	NA
cg14966613	1	NA	NA
cg14966941	1	NA	NA
cg14968388	NA	1	NA
cg14968719	1	NA	NA
cg14968758	1	NA	NA
cg14968860	NA	1	NA
cg14973240	1	NA	NA
cg14973408	NA	1	NA
cg14974056	NA	1	NA
cg14974644	1	NA	NA
cg14975154	1	1	NA
cg14975547	NA	1	NA
cg14975881	NA	1	NA
cg14976001	NA	1	NA
cg14976969	1	NA	NA
cg14977059	1	NA	NA
cg14978345	1	NA	NA
cg14978826	NA	1	NA
cg14979609	1	NA	NA
cg14981468	NA	1	NA
cg14982585	1	NA	NA
cg14983172	NA	1	NA
cg14983306	1	NA	NA
cg14983684	1	NA	NA
cg14984664	NA	1	NA
cg14984878	NA	1	NA
cg14985830	1	NA	NA
cg14987283	1	NA	NA
cg14987922	NA	1	NA
cg14988534	NA	1	NA
cg14989714	NA	1	NA
cg14989959	NA	1	NA
cg14990413	NA	1	NA
cg14990681	1	NA	NA
cg14990857	1	NA	NA
cg14990970	1	NA	NA
cg14992035	NA	1	NA
cg14992138	1	NA	NA
cg14992964	1	NA	NA
cg14993439	NA	1	NA
cg14995492	1	NA	NA
cg14995783	1	NA	NA
cg14996583	1	NA	NA
cg14997446	1	NA	NA
cg14997702	1	NA	NA
cg14998329	1	NA	NA
cg14998582	1	NA	NA
cg14999031	1	NA	NA
cg14999036	1	NA	NA
cg15000279	NA	1	NA
cg15001615	NA	1	NA
cg15001843	NA	1	NA
cg15001930	NA	1	NA
cg15002172	1	NA	NA
cg15003465	1	NA	NA
cg15003468	1	NA	NA
cg15003763	NA	1	NA
cg15005526	NA	1	NA
cg15006298	NA	1	NA
cg15006748	1	NA	NA
cg15006869	1	NA	NA
cg15007326	1	NA	NA
cg15007646	NA	1	NA
cg15007803	NA	1	NA
cg15010352	NA	1	NA
cg15011775	1	NA	NA
cg15012580	1	NA	NA
cg15012740	1	NA	NA
cg15013761	1	NA	NA
cg15014811	1	NA	NA
cg15015397	1	NA	NA
cg15015416	1	NA	NA
cg15015518	1	NA	NA
cg15016354	1	NA	NA
cg15017156	1	NA	NA
cg15017226	NA	1	NA
cg15019005	1	NA	NA
cg15021707	1	NA	NA
cg15021882	1	NA	NA
cg15021914	NA	1	NA
cg15022308	1	NA	NA
cg15022313	1	NA	NA
cg15022671	NA	1	NA
cg15023222	NA	1	NA
cg15023313	1	NA	NA
cg15024277	1	NA	NA
cg15024841	1	NA	NA
cg15025569	NA	1	NA
cg15025598	NA	1	NA
cg15026001	NA	1	NA
cg15026799	NA	1	NA
cg15027050	NA	1	NA
cg15027295	1	NA	NA
cg15027633	NA	1	NA
cg15028047	NA	1	NA
cg15028479	1	NA	NA
cg15028995	NA	1	NA
cg15029183	NA	1	NA
cg15029747	1	1	NA
cg15030074	NA	1	NA
cg15030397	1	NA	NA
cg15030631	1	NA	NA
cg15031253	1	NA	NA
cg15031384	NA	1	NA
cg15032025	1	NA	NA
cg15032462	1	NA	NA
cg15032755	1	1	NA
cg15032844	1	NA	NA
cg15033013	NA	1	NA
cg15034009	NA	1	NA
cg15035709	1	NA	NA
cg15035973	NA	1	NA
cg15036098	1	NA	NA
cg15037358	1	1	NA
cg15037596	1	NA	NA
cg15039510	1	NA	NA
cg15040188	1	NA	NA
cg15040616	1	NA	NA
cg15041949	1	NA	NA
cg15042082	NA	1	NA
cg15042473	1	NA	NA
cg15042801	1	NA	NA
cg15043801	NA	1	NA
cg15044760	NA	1	NA
cg15044932	1	NA	NA
cg15045174	1	NA	NA
cg15046299	1	NA	NA
cg15047484	1	NA	NA
cg15048461	1	NA	NA
cg15048554	NA	1	NA
cg15049370	1	NA	NA
cg15051221	1	NA	NA
cg15051795	1	NA	NA
cg15052642	1	NA	NA
cg15052747	1	NA	NA
cg15053575	1	NA	NA
cg15054838	NA	1	NA
cg15055128	1	NA	NA
cg15057238	1	NA	NA
cg15057554	1	NA	NA
cg15057581	1	NA	NA
cg15057621	1	NA	NA
cg15057735	1	NA	NA
cg15057747	1	NA	NA
cg15057818	1	NA	NA
cg15058253	1	NA	NA
cg15059562	1	NA	NA
cg15059743	1	NA	NA
cg15060081	1	NA	NA
cg15060438	NA	1	NA
cg15061647	1	NA	NA
cg15062225	NA	1	NA
cg15063753	1	NA	NA
cg15064466	1	NA	NA
cg15064753	1	NA	NA
cg15065561	1	NA	NA
cg15065631	NA	1	NA
cg15066416	1	NA	NA
cg15066656	NA	1	NA
cg15066777	NA	1	NA
cg15066881	1	NA	NA
cg15066967	NA	1	NA
cg15066992	1	NA	NA
cg15067764	1	1	NA
cg15068357	1	NA	NA
cg15068401	1	NA	NA
cg15068593	NA	1	NA
cg15073624	NA	1	NA
cg15073625	NA	1	NA
cg15074092	1	NA	NA
cg15074424	1	NA	NA
cg15075357	NA	1	NA
cg15076869	NA	1	NA
cg15077416	1	NA	NA
cg15078284	NA	1	NA
cg15079551	NA	1	NA
cg15080433	NA	1	NA
cg15081999	1	NA	NA
cg15082040	1	NA	NA
cg15082498	NA	1	NA
cg15083522	NA	1	NA
cg15084467	NA	1	NA
cg15084766	1	NA	NA
cg15084851	NA	1	NA
cg15085128	1	NA	NA
cg15086113	NA	1	NA
cg15086653	1	NA	NA
cg15087369	1	NA	NA
cg15088012	1	NA	NA
cg15088325	1	NA	NA
cg15088880	1	NA	NA
cg15089950	1	NA	NA
cg15093248	1	NA	NA
cg15094119	1	NA	NA
cg15094920	1	NA	NA
cg15095335	1	NA	NA
cg15095771	1	NA	NA
cg15096140	NA	1	NA
cg15096432	1	NA	NA
cg15096958	1	NA	NA
cg15097007	1	NA	NA
cg15097028	NA	1	NA
cg15100535	1	1	NA
cg15100936	1	NA	NA
cg15101483	NA	1	NA
cg15101535	1	NA	NA
cg15102473	1	NA	NA
cg15103181	NA	1	NA
cg15103414	1	1	NA
cg15103584	NA	1	NA
cg15104211	1	NA	NA
cg15104592	1	NA	NA
cg15105252	1	NA	NA
cg15105476	NA	1	NA
cg15106699	1	NA	NA
cg15107350	1	NA	NA
cg15108048	1	NA	NA
cg15108347	NA	1	NA
cg15112407	1	NA	NA
cg15112536	NA	1	NA
cg15113090	NA	1	NA
cg15113922	1	NA	NA
cg15114045	1	NA	NA
cg15114076	NA	1	NA
cg15114651	NA	1	NA
cg15115413	1	NA	NA
cg15116120	1	NA	NA
cg15117895	1	NA	NA
cg15118105	1	NA	NA
cg15118204	1	NA	NA
cg15118514	1	NA	NA
cg15118745	1	NA	NA
cg15118835	1	NA	NA
cg15120161	NA	1	NA
cg15120341	1	NA	NA
cg15120555	NA	1	NA
cg15122993	1	NA	NA
cg15123087	1	NA	NA
cg15123180	1	NA	NA
cg15123663	1	NA	NA
cg15123819	1	NA	NA
cg15123925	NA	1	NA
cg15124629	1	NA	NA
cg15124878	1	NA	NA
cg15125549	1	NA	NA
cg15125566	1	NA	NA
cg15125770	1	NA	NA
cg15126188	NA	1	NA
cg15126201	NA	1	NA
cg15126211	1	NA	NA
cg15128147	NA	1	NA
cg15128208	1	NA	NA
cg15128347	1	NA	NA
cg15129265	NA	1	NA
cg15129815	NA	1	NA
cg15130204	1	NA	NA
cg15131156	NA	1	NA
cg15131519	1	NA	NA
cg15132295	NA	1	NA
cg15132372	1	NA	NA
cg15133265	1	NA	NA
cg15133963	1	NA	NA
cg15134409	1	NA	NA
cg15135264	1	NA	NA
cg15135595	1	NA	NA
cg15138543	NA	1	NA
cg15139653	NA	1	NA
cg15141005	NA	1	NA
cg15141853	1	NA	NA
cg15142346	1	NA	NA
cg15143516	NA	1	NA
cg15144453	NA	1	NA
cg15144517	1	1	NA
cg15144817	1	NA	NA
cg15146033	1	NA	NA
cg15147113	NA	1	NA
cg15149275	1	NA	NA
cg15150215	1	NA	NA
cg15150310	1	NA	NA
cg15150396	NA	1	NA
cg15152149	NA	1	NA
cg15152789	1	NA	NA
cg15153068	1	NA	NA
cg15153175	NA	1	NA
cg15153800	1	NA	NA
cg15154635	1	NA	NA
cg15155568	1	NA	NA
cg15155965	1	NA	NA
cg15155990	1	NA	NA
cg15157335	1	NA	NA
cg15157455	1	NA	NA
cg15157856	1	NA	NA
cg15158310	NA	1	NA
cg15158977	1	NA	NA
cg15159291	1	NA	NA
cg15160081	1	NA	NA
cg15161171	NA	1	NA
cg15161959	NA	1	NA
cg15162219	1	NA	NA
cg15164048	1	NA	NA
cg15164826	NA	1	NA
cg15166050	NA	1	NA
cg15166246	1	NA	NA
cg15167807	1	NA	NA
cg15167836	1	NA	NA
cg15168497	NA	1	NA
cg15168892	1	NA	NA
cg15169469	1	NA	NA
cg15169471	1	NA	NA
cg15171911	NA	1	NA
cg15172011	1	NA	NA
cg15172514	1	NA	NA
cg15172814	1	NA	NA
cg15174294	1	NA	NA
cg15174812	1	NA	NA
cg15175091	1	NA	NA
cg15175351	1	NA	NA
cg15176306	NA	1	NA
cg15176874	1	NA	NA
cg15176895	1	NA	NA
cg15177055	1	NA	NA
cg15177169	1	NA	NA
cg15177410	1	NA	NA
cg15177551	1	NA	NA
cg15177604	NA	1	NA
cg15178040	1	NA	NA
cg15178540	NA	1	NA
cg15178807	1	NA	NA
cg15179515	1	NA	NA
cg15179872	1	NA	NA
cg15180869	NA	1	NA
cg15181153	1	NA	NA
cg15183689	1	NA	NA
cg15183843	1	NA	NA
cg15183961	1	NA	NA
cg15185774	1	NA	NA
cg15186488	1	NA	NA
cg15186616	1	NA	NA
cg15188084	1	NA	NA
cg15189797	1	NA	NA
cg15189997	1	NA	NA
cg15192120	1	NA	NA
cg15192242	1	NA	NA
cg15192750	1	NA	NA
cg15192909	NA	1	NA
cg15193179	NA	1	NA
cg15193475	NA	1	NA
cg15195367	1	NA	NA
cg15196058	1	NA	NA
cg15197881	1	NA	NA
cg15198148	NA	1	NA
cg15199301	NA	1	NA
cg15199748	1	NA	NA
cg15200796	1	NA	NA
cg15200801	NA	1	NA
cg15201115	NA	1	NA
cg15202609	1	NA	NA
cg15202876	1	NA	NA
cg15203096	1	NA	NA
cg15203333	1	NA	NA
cg15203777	1	NA	NA
cg15204594	NA	1	NA
cg15204945	NA	1	NA
cg15206500	1	NA	NA
cg15208247	1	NA	NA
cg15209419	NA	1	NA
cg15210234	1	NA	NA
cg15210426	1	NA	NA
cg15210622	1	1	NA
cg15210787	1	NA	NA
cg15210833	1	NA	NA
cg15212137	1	NA	NA
cg15213026	1	NA	NA
cg15213488	1	NA	NA
cg15213714	1	NA	NA
cg15213782	1	NA	NA
cg15214366	NA	1	NA
cg15214379	1	NA	NA
cg15215369	1	NA	NA
cg15217308	1	NA	NA
cg15218509	1	1	NA
cg15220194	NA	1	NA
cg15221579	1	NA	NA
cg15224505	1	NA	NA
cg15224955	1	NA	NA
cg15225364	1	NA	NA
cg15225844	NA	1	NA
cg15226348	NA	1	NA
cg15226659	NA	1	NA
cg15227544	1	NA	NA
cg15227771	1	NA	NA
cg15230237	NA	1	NA
cg15230460	1	NA	NA
cg15230900	1	NA	NA
cg15231942	1	NA	NA
cg15232319	1	NA	NA
cg15233681	NA	1	NA
cg15234263	1	NA	NA
cg15235057	NA	1	NA
cg15235306	NA	1	NA
cg15238325	1	NA	NA
cg15238831	1	NA	NA
cg15239694	1	NA	NA
cg15240102	1	NA	NA
cg15241582	1	NA	NA
cg15241786	1	NA	NA
cg15242048	NA	1	NA
cg15243597	1	NA	NA
cg15244290	NA	1	NA
cg15244360	1	NA	NA
cg15247031	1	NA	NA
cg15247069	NA	1	NA
